,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
0,"@svaradarajan @deep_ami @kaushalreports @thewire_in In fact people of UP gave two tight slaps - one, for spreading… https://t.co/MHayVhXOyQ",2022-03-30 14:24:29,1509174730376757254,India_on_move,,,0,0,en,Twitter Web App,1509144264311459841,21014078,False
1,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 13:33:32,1509161910100537354,MaritaWoods11,,,66,0,en,Twitter for iPhone,,,False
2,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-30 13:25:16,1509159826462494720,CLSylvestre1,,,40,0,en,Twitter for Android,,,False
3,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 12:31:55,1509146402298814467,BillTieleman,,,66,0,en,Twitter for iPad,,,False
4,"Beware of fake COVID-19 vaccines: Here's how to spot one.
#COVID19 
#fakevaccine https://t.co/0q71o7yGGt",2022-03-30 12:21:20,1509143737435242497,PNPAbraBangued,,,0,0,en,Twitter Web App,,,False
5,RT @LieveToet: Dear @TwitterSupport @TwitterSafety please delete @dancalegria as this account is constantly spreading fake news about Covid…,2022-03-30 12:13:12,1509141690958950402,DonnaWaardenbe1,,,2,0,en,Twitter Web App,,,False
6,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 12:01:49,1509138826454876162,John68Richmond,,,66,0,en,Twitter for Android,,,False
7,"The media that has been told of fake news are actually telling the truth all the time, which is too ironic!
""… https://t.co/btWr8NEV51",2022-03-30 12:01:25,1509138727884697603,BachHermosa,,,0,0,en,Twitter Web App,,,False
8,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 12:00:33,1509138509197623304,Eddie72J,,,66,0,en,Twitter for Android,,,False
9,"@fcukthesystem2 @tiredoftalkingg @Covid19_Murders @KiranNaz96 @apostateali Sahih Muslim 3480, are you gonna say a Sahih hadith is fake?",2022-03-30 11:20:59,1509128549688561668,BluteqS,,,0,0,en,Twitter Web App,1509127462772424709,950181654970150914,False
