,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
0,RT @PBSC_Beijing: Worst #Omicron outbreak in #China reignites debate about exit from Zero-COVID policy as lockdown mismanagement frustrates…,2022-03-30 16:59:11,1509213661541281793,ShahzabHassan6,,,4,0,en,Twitter for Android,,,False
1,RT @AudreyBirt: Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron excellent article re #covi…,2022-03-30 16:59:10,1509213659062485001,LillyLyle,,,2,0,en,Twitter Web App,,,False
2,"RT @Kit_Yates_Maths: ""We can introduce serious upgrades to infrastructure: better ventilation, less crowding, increased air purification an…",2022-03-30 16:59:08,1509213649688215565,thenorfolkcoast,,,46,0,en,Twitter for Android,,,False
3,"RT @B52Malmet: Here’s a new government site to find your way w/everything #COVID from masks, to tests to vaccines, in your community. Posti…",2022-03-30 16:59:08,1509213648073510924,corazonquebrad1,,,32,0,en,Twitter for Android,,,False
4,Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron | Christina Pagel https://t.co/cOIkFBGMPC,2022-03-30 16:59:07,1509213647033278476,gunnlesley,,,0,0,en,Twitter for iPhone,,,False
5,"RT @Kit_Yates_Maths: ""We can introduce serious upgrades to infrastructure: better ventilation, less crowding, increased air purification an…",2022-03-30 16:59:04,1509213632651005956,KateElliott8,,,46,0,en,Twitter for iPad,,,False
6,"RT @fitterhappierAJ: This completely skews data acquisition and interpretation, especially of things as important as determining the severi…",2022-03-30 16:58:54,1509213589705474051,ipattorneyliza,,,39,0,en,Twitter for Android,,,False
7,"RT @voter1vote: BA.2 Symptoms Doctors Are Seeing The Most Right Now | HuffPost Life https://t.co/OExCibQ3FE   Good Luck, Everyone!",2022-03-30 16:58:52,1509213581950308357,FroodyWisco,,,1,0,en,Twitter for iPad,,,False
8,"RT @MirrorPolitics: Sir Patrick Vallance warns next Covid variant could be worse than Omicron
https://t.co/qYqzdzR3hD https://t.co/hVL9Ai5Y…",2022-03-30 16:58:47,1509213563298189324,Pierssy,,,21,0,en,Twitter Web App,,,False
9,"RT @cbbboston: LOL! Stay home for the rest of your life!!! 🥱

Infectious Omicron BA.2 now dominant in U.S., with coronavirus spring rise li…",2022-03-30 16:58:43,1509213543425585158,janet_yackle,,,2,0,en,Twitter for iPhone,,,False
10,RT @Camz99: Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron https://t.co/4xlOu3qlXY,2022-03-30 16:58:43,1509213542611922959,teenismyname,,,1,0,en,Twitter for Android,,,False
11,Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron | Christina Pagel https://t.co/JAvMioSE17,2022-03-30 16:58:41,1509213537188696071,Wicher9,,,0,0,en,Twitter Web App,,,False
12,RT @robferguson1: The Ontario Health Coalition is calling for a return to widespread free PCR testing for #COVID19 (not just for select gro…,2022-03-30 16:58:40,1509213533048823814,RuralHomeCareBG,,,85,0,en,Twitter Web App,,,False
13,RT @robferguson1: The Ontario Health Coalition is calling for a return to widespread free PCR testing for #COVID19 (not just for select gro…,2022-03-30 16:58:26,1509213473384943616,wendyannpotter1,,,85,0,en,Twitter Web App,,,False
14,"RT @KatherineGlend4: We have vaccines for those who want them, testing and therapeutics. The vaccines aren’t blocking transmission. Omicron…",2022-03-30 16:58:25,1509213469542920192,lexhoudek,,,68,0,en,Twitter for iPhone,,,False
15,RT @Intuit_Trading: Interesting because about 100 days from now (feb/march) is also what I've been projecting for the end of this correctio…,2022-03-30 16:58:25,1509213469232480256,lntuit_Trading,,,1,0,en,Twitter for Android,,,False
16,RT @AdamJKucharski: Looks like many countries don't have a plan for future COVID variants beyond 1) hoping they're not inherently worse tha…,2022-03-30 16:58:24,1509213462961922053,iteobesta,,,187,0,en,Twitter Web App,,,False
17,"RT @MikeBravoNC: Meet Ann McElvoy.  This is one of the most disturbing articles I have ever read, which is based on no scientific evidence.…",2022-03-30 16:58:20,1509213447514431493,Quamasparagi,,,1,0,en,Twitter for iPad,,,False
18,Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron | Christina Pagel https://t.co/kP07hBy3hN,2022-03-30 16:58:15,1509213426878488582,TheWolf_Tweets,,,0,0,en,Twitter for Android,,,False
19,How bad will the Omicron Covid variant be in Britain? Three things will tell us https://t.co/zzTv2UZvLW,2022-03-30 16:58:15,1509213426584899584,pongodhall,,,0,0,en,Twitter for iPad,,,False
20,"@TKeery5 Even flu shots are annual. These mfs are asking us to take an experimental vax every 6 months, even when i… https://t.co/DQMYJcHDp9",2022-03-30 16:58:15,1509213426559586304,longlivlancelot,,,0,0,en,Twitter Web App,1508995013555986434,3157826368,False
21,RT @SusanMichie: Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron https://t.co/PWgq6xzuzY,2022-03-30 16:58:11,1509213411770519555,Danothewisp,,,7,0,en,Twitter for iPhone,,,False
22,"#UK records 87,188 more #COVID19   cases and 213 deaths as hospitalisations rise again 

.. please remember to be c… https://t.co/wyLFj9dwoF",2022-03-30 16:58:07,1509213392791388167,jukkaisorinne,,,0,0,en,Twitter Web App,,,False
23,RT @B52Malmet: Please be aware. #COVIDIsNotOver  https://t.co/OreWFccMiT,2022-03-30 16:58:06,1509213391352901633,PammysParcels,,,19,0,en,Twitter for iPhone,,,False
24,"RT @ONS: We’ve published new data on the characteristics of those testing positive for #COVID19.

This shows the risk of reinfection is 10x…",2022-03-30 16:58:04,1509213379227009038,this_worldsucks,,,142,0,en,Twitter for iPhone,,,False
25,Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron | Christina Pagel https://t.co/Y176dhtEgn,2022-03-30 16:57:51,1509213324424192018,sound_of_sirens,,,0,0,en,Twitter Web App,,,False
26,@Politics_Please When omicron came out they said it had something in it that matched a sequence in HIV. At the time… https://t.co/S5YgaM3kD0,2022-03-30 16:57:42,1509213289582141441,ThomasCanfield2,,,0,0,en,Twitter for Android,1509211033772171272,978346563222360064,False
27,RT @Quicktake: 🇨🇳 China's largest city of Shanghai cranked up lockdown restrictions after a month of less disruptive measures failed to cur…,2022-03-30 16:57:40,1509213281650569220,HallerDawn,,,13,0,en,Twitter for Android,,,False
28,"I don’t understand why there is nothing, absolutely nothing about coronavirus in the media… I really don’t think it… https://t.co/RkUK3AJrpw",2022-03-30 16:57:35,1509213257998876675,tinalverdun,,,0,0,en,Twitter for iPhone,,,False
29,"RT @AmandaKendal: Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron | Christina Pagel 

#Cov…",2022-03-30 16:57:33,1509213252533768193,sound_of_sirens,,,1,0,en,Twitter Web App,,,False
30,RT @trishgreenhalgh: Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron | Christina Pagel @ch…,2022-03-30 16:57:31,1509213240856829952,StarterPat,,,100,0,en,Twitter for iPad,,,False
31,RT @trishgreenhalgh: Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron | Christina Pagel @ch…,2022-03-30 16:57:29,1509213236037619714,lucyeatonmess,,,100,0,en,Twitter for iPhone,,,False
32,RT @robferguson1: The Ontario Health Coalition is calling for a return to widespread free PCR testing for #COVID19 (not just for select gro…,2022-03-30 16:57:29,1509213235202957325,archie_pelagos,,,85,0,en,Twitter Web App,,,False
33,"RT @sailorrooscout: Omicron meet Gibraltar, one of the world’s most vaccinated territories. Gibraltar has vaccinated ~99% of its total popu…",2022-03-30 16:57:27,1509213227321905152,chefin_die,,,880,0,en,Twitter for iPhone,,,False
34,"“How’d they die?”

“The Son of Omicron took her”

I’m not saying that.",2022-03-30 16:57:27,1509213226491383816,__luckyleftie,,,0,0,en,Twitter for iPhone,,,False
35,"@a_pinsent @CFRAOttawa Well I’m glad we’re in the clear now. Everything this idiot says (Juni), pretty much the opp… https://t.co/CU6wrugeyD",2022-03-30 16:57:24,1509213211853271048,heyMickDee,,,0,0,en,Twitter for iPhone,1509210432904613907,222992015,False
36,"""Son of omicron"" variant is now dominant in the US — and experts say it could herald another wave
https://t.co/p2N9i0SABf",2022-03-30 16:57:17,1509213184963584000,cwtillery,,,0,0,en,Twitter for Android,,,False
37,Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron https://t.co/4xlOu3qlXY,2022-03-30 16:57:14,1509213172359741454,Camz99,,,1,0,en,Twitter for iPhone,,,False
38,"RT @Kit_Yates_Maths: ""We can introduce serious upgrades to infrastructure: better ventilation, less crowding, increased air purification an…",2022-03-30 16:57:09,1509213148800331778,svenadultbooks,,,46,0,en,Twitter Web App,,,False
39,RT @KI7BDA: @graphictruth @LesleyJWilliams @Popehat The vaccines work. They reduce COVID to flu levels with Omicron.,2022-03-30 16:57:07,1509213142114615304,meggy_head,,,1,0,en,Twitter for iPhone,,,False
40,"RT @jneill: 🚨 We have now exceeded the January peak for Covid hospitalisations ‼️

On 1st Jan the peak 7-day average was 2040.7 hospitalisa…",2022-03-30 16:57:07,1509213140860481548,Just_Clive,,,5,0,en,Twitter Web App,,,False
41,"@sajidjavid What about the under 75 year old that are vulnerable ?

With your plan it is plainly obvious that you d… https://t.co/DM2xSyz3Ni",2022-03-30 16:57:03,1509213123298877448,Orileyuk1,,,0,0,en,Twitter for iPad,1509071210348429312,20052899,False
42,"RT @gmacofglebe: Seems like there are a lot of businesses posting that they are closing due to staff illness. 

Ottawa's coronavirus wastew…",2022-03-30 16:57:01,1509213116793606155,Tim03038644,,,54,0,en,Twitter for iPhone,,,False
43,RT @trishgreenhalgh: Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron | Christina Pagel @ch…,2022-03-30 16:56:55,1509213093032718339,Laureninthe707,,,100,0,en,Twitter for Android,,,False
44,RT @robferguson1: The Ontario Health Coalition is calling for a return to widespread free PCR testing for #COVID19 (not just for select gro…,2022-03-30 16:56:49,1509213066382225413,jsimmsiii,,,85,0,en,Twitter for iPhone,,,False
45,"RT @sailorrooscout: Omicron meet Gibraltar, one of the world’s most vaccinated territories. Gibraltar has vaccinated ~99% of its total popu…",2022-03-30 16:56:44,1509213046656442371,Bartfratze1982,,,880,0,en,Twitter for Android,,,False
46,"RT @KatherineGlend4: We have vaccines for those who want them, testing and therapeutics. The vaccines aren’t blocking transmission. Omicron…",2022-03-30 16:56:42,1509213036749496323,AndrewH80107174,,,68,0,en,Twitter for Android,,,False
47,"RT @goldencaskcap: City of Langfang, in Hebei province, is battling an omicron surge. City officials put out a doc yesterday saying pets of…",2022-03-30 16:56:35,1509213008198873094,f_julko8,,,70,0,en,Twitter Web App,,,False
48,"@AndreaDona60 Quoting biblical texts? How righteous thou art. 

I notice you reach for the insults as you don't lik… https://t.co/SrF2FaU1vV",2022-03-30 16:56:35,1509213007850655757,MartinThornber,,,0,0,en,Twitter for Android,1509211935350296576,1478728958912782339,False
49,Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron | Christina Pagel https://t.co/s39srQaaHs,2022-03-30 16:56:34,1509213001961947139,publicradionerd,,,0,0,en,Twitter Web App,,,False
50,"RT @Kit_Yates_Maths: ""We can introduce serious upgrades to infrastructure: better ventilation, less crowding, increased air purification an…",2022-03-30 16:56:33,1509213001336999942,DrP_Manc,,,46,0,en,Twitter for iPhone,,,False
51,"RT @EdTubb: Reasonably clear that Europe's March BA. 2 waves are not going to rival their initial Omicron waves.

(Canada, which is not in…",2022-03-30 16:56:32,1509212996064710658,JoshDehaas,,,9,0,en,Twitter for iPhone,,,False
52,RT @robferguson1: The Ontario Health Coalition is calling for a return to widespread free PCR testing for #COVID19 (not just for select gro…,2022-03-30 16:56:31,1509212991799111689,TotesAndMore,,,85,0,en,Twitter for iPhone,,,False
53,#COVID19 #yeg #coronavirus The LTC facility my mom is at went from 9 residents to 13 residents to 29 residents gett… https://t.co/2u6OxG0Uf8,2022-03-30 16:56:30,1509212987571113985,123_Echo,,,0,0,en,Twitter for iPhone,,,False
54,RT @danielgoyal: Younger “healthy” folk aren’t eligible for 4th dose or antivirals. So only the elderly/CEV group benefits from the risk re…,2022-03-30 16:56:30,1509212985763500036,castoraj,,,5,0,en,Twitter Web App,,,False
55,RT @trishgreenhalgh: Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron | Christina Pagel @ch…,2022-03-30 16:56:28,1509212978972925955,skmansell,,,100,0,en,Twitter for iPhone,,,False
56,RT @AudreyBirt: Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron excellent article re #covi…,2022-03-30 16:56:23,1509212955635859457,1_Lovelife,,,2,0,en,Twitter Web App,,,False
57,@tomabella @GarrettPetersen @JakeAnbinder yeah I cancelled by booster because I was sick with omicron and didn't wa… https://t.co/eZMTpDdeSU,2022-03-30 16:56:14,1509212919950577666,fakegeekguy,,,0,0,en,Twitter for Android,1509179057765814281,18205068,False
58,Why is the UK seeing near-record Covid cases? We still believe the three big myths about Omicron excellent article… https://t.co/y8HijXRHNi,2022-03-30 16:56:13,1509212914879770636,AudreyBirt,,,2,0,en,Twitter for iPad,,,False
59,"RT @globalnews: The more contagious BA.2 subvariant of Omicron, now dominant in several provinces, coupled with loosened public health meas…",2022-03-30 16:56:13,1509212914082725892,sylviagreier,,,6,0,en,Twitter for Android,,,False
60,RT @COVIDnewsfast: Omicron is giving birth to so many new variants and mutations it's becoming almost impossible to keep up with them all.…,2022-03-30 16:56:12,1509212912090587138,solutions_covid,,,436,0,en,Twitter for Android,,,False
61,RT @robferguson1: The Ontario Health Coalition is calling for a return to widespread free PCR testing for #COVID19 (not just for select gro…,2022-03-30 16:56:12,1509212911671160834,tomflem,,,85,0,en,Twitter Web App,,,False
62,RT @DrEricDing: 3) I recently wrote how China is at a tipping point. Either their contain this #BA2 Omicron wave or else they will suffer a…,2022-03-30 16:55:50,1509212819744600078,Phmpmd,,,77,0,en,Twitter for Android,,,False
63,RT @robferguson1: The Ontario Health Coalition is calling for a return to widespread free PCR testing for #COVID19 (not just for select gro…,2022-03-30 16:55:50,1509212817488023555,EasternPewee,,,85,0,en,Twitter for iPhone,,,False
64,"RT @sailorrooscout: •https://t.co/bmTLskWeP9
•https://t.co/VTbtyFDbNE
With Omicron on our doorstep, are we more likely to see breakthroughs…",2022-03-30 16:55:44,1509212792259239938,musicandscifi,,,19,0,en,Twitter for Mac,,,False
65,RT @P_McCulloughMD: Mandates of all kinds should be dropped for travel.  Clearly none of them work and passengers better advised on good P-…,2022-03-30 16:55:43,1509212788597694473,Cryptostyle2022,,,2684,0,en,Twitter for iPad,,,False
