,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
0,@BluteqS @fcukthesystem2 @tiredoftalkingg @KiranNaz96 @apostateali Jesus came to guide the Jews he was sent by god… https://t.co/5VDS2yKXNh,2022-03-30 13:49:52,1509166017989287942,Covid19_Murders,,,0,0,en,Twitter for iPhone,1509154858821197831,1500136933636427782,False
1,RT @picardonhealth: New evidence that hospital pressured to axe doctor who criticized Ford government on pandemic. It sure looks like @Broo…,2022-03-29 15:49:31,1508833742332338177,authentic_jack,,,364,0,en,Twitter for iPhone,,,False
2,"@Covid19_Murders Stop trying to change subject

Your beloved prophet was a rapist, murderer, thief and more all acc… https://t.co/93V7Rt5hA7",2022-03-29 03:57:59,1508654680720744452,je_suis_free,,,0,0,en,Twitter for Android,1508653050570940417,1241908150858547203,False
3,"@Covid19_Murders That Wikipedia page has references to all authentic hadiths

It's easy to say ""it's all lies"" with… https://t.co/8k71pZcaXm",2022-03-29 03:38:38,1508649809795850248,je_suis_free,,,0,0,en,Twitter for Android,1508648362446409735,1241908150858547203,False
4,"Don't waist your time to get vaccinated, We provide authentic Covid19 vaccine cards and fit to travel certificates.… https://t.co/fcdlAYHlu4",2022-03-28 12:41:29,1508424034614231044,cardsvaccine1,,,0,0,en,Twitter for iPhone,,,False
5,"RT @AfWrldNwPrj: Day 7 @ #NAFF pres. by @AFISilver &amp; 
@AfWrldNwPrj @CharlieVundla's HOTEL ON THE KOPPIES (#SouthAfrica) 5:15PM-- Two #South…",2022-03-26 02:01:48,1507538274600067078,DrT_Siddiqui,,,3,0,en,Twitter Web App,,,False
6,"#HongKong battle to curb #Covid19

#finance #money #business #crypto #BigTech #iot #China #blockchain #hongkong … https://t.co/ewnxK07eKP",2022-03-25 13:09:02,1507343805313433607,WallStCopywrite,,,0,0,en,LinkedIn,,,False
7,@HumanToken8 We're talking Authentic #N95 Covid masks which do matter &amp; can save your life while other masks for th… https://t.co/Bnkegndwqj,2022-03-25 06:25:52,1507242341479837698,JasonAnthonySt2,,,0,0,en,Twitter Web App,1507240078204149760,1488217190138400768,False
8,"RT @AfWrldNwPrj: Day 7 @ #NAFF pres. by @AFISilver &amp; 
@AfWrldNwPrj @CharlieVundla's HOTEL ON THE KOPPIES (#SouthAfrica) 5:15PM-- Two #South…",2022-03-24 20:48:29,1507097041343860737,AdNAUbuntu,,,3,0,en,Twitter Web App,,,False
9,"RT @AfWrldNwPrj: Day 7 @ #NAFF pres. by @AFISilver &amp; 
@AfWrldNwPrj @CharlieVundla's HOTEL ON THE KOPPIES (#SouthAfrica) 5:15PM-- Two #South…",2022-03-24 20:48:05,1507096938113601539,AfricaNowOnline,,,3,0,en,Twitter Web App,,,False
10,"Day 7 @ #NAFF pres. by @AFISilver &amp; 
@AfWrldNwPrj @CharlieVundla's HOTEL ON THE KOPPIES (#SouthAfrica) 5:15PM-- Two… https://t.co/YyQCcaCcw6",2022-03-24 20:46:26,1507096522843959306,AfWrldNwPrj,,,3,3,en,Twitter Web App,,,False
11,"Due to #COVID19 Nina LaBruna, founder of @LabrunaSkincare, had to pivot her approach to focus on #ecommerce and… https://t.co/WVWIbkvJB6",2022-03-24 19:01:20,1507070075316187149,GS1_US,,,0,0,en,Hootsuite Inc.,,,False
12,"#Covid19
India have executed 181 crores vaccines.
China have executed 320 crores vaccines.
But for active cases med… https://t.co/oiUoXSNVWI",2022-03-24 04:39:05,1506853082411724804,GaurangSPatel5,,,0,0,en,Twitter for Android,,,False
13,"We have #Covid19 because The #USGovernment doesn't factor in #Morons, The #Oblivious &amp; #Assholes in preventing Covi… https://t.co/NP4egMArWs",2022-03-23 22:15:31,1506756553088516099,JasonAnthonySt2,,,0,1,en,Twitter Web App,,,False
14,"If you do not wear an authentic #N95Mask but a #homemade, online or store bought #counterfeitN95 Mask or cheap shit… https://t.co/RbhoGSsqaX",2022-03-23 21:48:38,1506749788133363713,JasonAnthonySt2,,,0,0,en,Twitter Web App,,,False
15,"A tip to avoid #Covid19 which is easy if you open your eyes, from my book ""How to Reduce Your Risk of Covid Exposur… https://t.co/HeroWEvKBr",2022-03-23 21:22:34,1506743229785337857,JasonAnthonySt2,,,0,0,en,Twitter Web App,,,False
16,"RT @DGBassani: New update... even higher. 
https://t.co/15Uh4cIh2I https://t.co/AbTLJGQRg5",2022-03-23 20:02:41,1506723127170056199,authentic_jack,,,193,0,en,Twitter for iPhone,,,False
17,"Last #Covid19 post today. Unless you wear an authentic #N95Mask, your counterfeit, homemade or non-#95 mask won't p… https://t.co/DsxfvnLAqN",2022-03-22 22:33:39,1506398731553312773,JasonAnthonySt2,,,0,1,en,Twitter Web App,,,False
18,RT @AfWrldNwPrj: @ #NAFF pres. by @AFISilver &amp; @AfWrldNwPrj 8:45PM #SouthAfrican Charlie Vundla's film HOTEL ON THE KOPPIES in which two So…,2022-03-22 07:05:44,1506165211316772867,Adilissah2020,,,5,0,en,Twitter for Android,,,False
