,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
0,RT @rmoonchlid: corona lost to jungkookie https://t.co/EMNkWA3b4I,2022-03-30 16:58:44,1509213547787554819,shookiscookis,,,1880,0,en,Twitter for iPhone,,,False
1,@OurMDCT @DMwonzora @Mr_Okays @OpenParlyZw @chikudo_reuben @MkMuganji @SlymediaproTv @giles_mutsekwa @witness_dube… https://t.co/NTxJdwMklc,2022-03-30 16:58:44,1509213547347197963,NelsonWabantu,,,0,0,en,Twitter for Android,1509104322898018304,1352440990624346114,False
2,"RT @btsqtsarchive: “Corona lost to Jungkook” ㅡ 220330, Kim Taehyung Instagram Comment 🔥✊",2022-03-30 16:58:43,1509213545266757632,_wEiRdEsTBiTcH,,,12123,0,en,Twitter Web App,,,False
3,RT @ENCHANTIINGTAe: “corona lost to jungkook” https://t.co/y7m3Y94aDa,2022-03-30 16:58:42,1509213540904800258,mimiloml_,,,24702,0,en,Twitter for Android,,,False
4,@TheSlightlySur @_tillyflip_ @BBCNews The flu is not a Corona virus. And the flu vaccine is modified based on the a… https://t.co/nTmBE1ezj2,2022-03-30 16:58:42,1509213540825149444,mrsweeneytoad,,,0,0,en,Twitter for iPhone,1509207539782717450,1491328264836628484,False
5,"RT @googiefolder: jungkook instagram story update

🐰 netflix recommendations let's go 

👤 the end of the f...ing world 
🐰 #/the end of the…",2022-03-30 16:58:42,1509213539453575171,YO0NGIVERSE,,,4268,0,en,Twitter for iPhone,,,False
6,RT @ENCHANTIINGTAe: “corona lost to jungkook” https://t.co/y7m3Y94aDa,2022-03-30 16:58:41,1509213534328131586,gummyhoba,,,24702,0,en,Twitter for iPhone,,,False
7,"RT @hourlytaekooker: 🐯 : look look look at those dance steps. corona lost to jungkook, and i couldn’t even move 😐😲

IM CRYING 😭😭😭 https://t…",2022-03-30 16:58:36,1509213514082271239,SoumayyahF,,,201,0,en,Twitter for Android,,,False
8,"💜 The End of the Fu@#%^ World (el final del maldito mundo)
🐰The End of the fu@#% corona  (el final del maldito coro… https://t.co/D4MK61tiG5",2022-03-30 16:58:34,1509213507413291022,fanno_banano,,,0,0,en,Twitter for Android,1509212941073141762,169774192,False
9,"RT @btsqtsarchive: “Corona lost to Jungkook” ㅡ 220330, Kim Taehyung Instagram Comment 🔥✊",2022-03-30 16:58:34,1509213506163261445,minholly2142,,,12123,0,en,Twitter for iPhone,,,False
10,"RT @btsqtsarchive: “Corona lost to Jungkook” ㅡ 220330, Kim Taehyung Instagram Comment 🔥✊",2022-03-30 16:58:28,1509213479659524102,suckerforjisoo1,,,12122,0,en,Twitter for Android,,,False
11,RT @ENCHANTIINGTAe: “corona lost to jungkook” https://t.co/y7m3Y94aDa,2022-03-30 16:58:27,1509213476253749256,danisalg331,,,24702,0,en,Twitter for Android,,,False
12,"RT @btsqtsarchive: “Corona lost to Jungkook” ㅡ 220330, Kim Taehyung Instagram Comment 🔥✊",2022-03-30 16:58:26,1509213472730411009,soft_xkh,,,12123,0,en,Twitter for Android,,,False
13,RT @ENCHANTIINGTAe: “corona lost to jungkook” https://t.co/y7m3Y94aDa,2022-03-30 16:58:23,1509213461963997193,cartxxnnnnn,,,24702,0,en,Twitter for Android,,,False
14,"RT @alifarshchiyan: Although two years have passed since the corona virus came, people are still more afraid of the virus than of war, but…",2022-03-30 16:58:09,1509213402626990084,HFahiondesign,,,3,0,en,Twitter for iPhone,,,False
15,"RT @shoesbyFIS: Sold out last night 
Caribe 
Smirnoff black &amp; green 
Shandy 
Malta 
WATER
Hennessy 
Tequila 
White oak 
Puncheon 
Ice 
Coke…",2022-03-30 16:58:05,1509213385564565506,Megul15,,,14,0,en,Twitter for iPhone,,,False
16,"RT @btstranslation7: 9.  the uncanny counter 😼
🐰: #waaatchedittttt

10. stranger🤫
🐰: #okie

11. watch all the videos
🐰: #thenwhenwouldiever…",2022-03-30 16:58:03,1509213375397605379,bbyjoonbug_,,,46,0,en,Twitter for Android,,,False
17,"RT @baIenciagajk: someone’s rec was ""the end of the fxxxing world"" and jungkook replied ""the end of the fxxxing corona"" PLEASE",2022-03-30 16:58:01,1509213368540082177,syoobga,,,516,0,en,Twitter for iPhone,,,False
18,"RT @googiefolder: jungkook instagram story update

🐰 netflix recommendations let's go 

👤 the end of the f...ing world 
🐰 #/the end of the…",2022-03-30 16:58:00,1509213365104611329,jungkooks_Hoe0,,,4268,0,en,Twitter Web App,,,False
19,RT @waxoriginals: Here’s a giveaway to celebrate the fact I’ve finally tested negative for corona!! To win this #adidas Gazelle and set of…,2022-03-30 16:57:54,1509213340643565569,ITFCFerry,,,75,0,en,Twitter for iPhone,,,False
20,"RT @btsbaragi_jk: 👤 The End of the F***ing World
🐰 #/The End of F***ing Corona

👤The adam project
🐰#/ooookkkk https://t.co/hVpogoHABA",2022-03-30 16:57:50,1509213323836809221,GoldenMoonLab,,,1139,0,en,Twitter for iPhone,,,False
