,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
0,RT @BPhinatic: @VindictiveMMA Cringe watching people fight on the concrete.  The veil between being free or in prison is so thin in this ci…,2022-03-30 16:59:46,1509213807184334865,delt_delta,,,26,0,en,Twitter for iPhone,,,False
1,"$GTCH Vancouver, Kelowna, Delta, British Columbia--(Newsfile Corp. - March 22, 2022) - https://t.co/fQAvPyl7fB, a g https://t.co/Ci6hn4s6qC",2022-03-30 16:59:42,1509213793779343361,cabroncita,,,0,0,en,Investors Hangout,,,False
2,@sakehqueen @franzipol @fantarchi @GeorgeSolost @ModestMentalist @KunstlochNFT @GreenCrypto11 @Dosir14… https://t.co/5pEDmojUeL,2022-03-30 16:59:41,1509213785977810950,Lalagarciart,,,0,0,en,Twitter for Android,1509212456274604036,251693269,False
3,RT @Hu_NFT: @franzipol @fantarchi @GeorgeSolost @ModestMentalist @KunstlochNFT @GreenCrypto11 @Dosir14 @thomaaas_crypto @Emilmto @lily4art…,2022-03-30 16:59:35,1509213763802738689,Hu_NFT,,,4,0,en,Twitter Web App,,,False
4,"Do you follow your Zone 4 Fraser-River Delta Minor Box Lacrosse Clubs on social media?

All active accounts are sho… https://t.co/Puc2pMxsRS",2022-03-30 16:59:29,1509213738729017346,BCLacrosse,,,0,0,en,Twitter Web App,,,False
5,"Recent pic from @NEON_sci Delta Junction trip for @photo_spec repairs 
🌲❄️☀️ https://t.co/yAjL91NvaA",2022-03-30 16:59:27,1509213728008404993,Zoeapie,,,0,0,en,Twitter for iPhone,,,False
6,"RT @kyle_osterhage: Highlights from ARC and Delta outings.
@FlatgroundApp 
@SacCityBaseball 
@Coach_Bomber https://t.co/q37VoxnyP7",2022-03-30 16:59:26,1509213725655412736,steven_talbertt,,,7,0,en,Twitter for iPhone,,,False
7,"RT @DocR0cket: I’m just as exhausted &amp; frustrated as anyone re: the pandemic but despite CDC recs, I will continue to mask indoors.

The Va…",2022-03-30 16:59:24,1509213717644386316,MarinaGipps,,,46,0,en,Twitter for iPhone,,,False
8,RT @ModestMentalist: @KunstlochNFT @GreenCrypto11 @Dosir14 @thomaaas_crypto @Emilmto @lily4art @MarlonNFTs @CLCTV_IO @farshidfeyzi64 @AnaKi…,2022-03-30 16:59:16,1509213681594224640,kaihillarts,,,6,0,en,Twitter for iPhone,,,False
9,"Delta Airlines flight #DAL1006 spotted at 28,000 feet! https://t.co/esl4e6kCpv",2022-03-30 16:59:07,1509213645972017155,laxradar,,,0,0,en,Raspberry Pi - ADS-B Receiver,,,False
10,When you’re traveling for mission work you shouldn’t have to pay for luggage @Delta,2022-03-30 16:59:06,1509213639743574017,aPrettyKoolNurs,,,0,0,en,Twitter for iPhone,,,False
11,"i got another cat.
his (current but will be changed) name is pete he's a 5 year old black cat and the first thing h… https://t.co/jIpWXkUSwc",2022-03-30 16:59:04,1509213634026745866,galactic_delta,,,0,0,en,Twitter Web App,,,True
12,"@variant_delta @Bob_WeaverCO And if you're taking your girlfriend out tonight
You'd better park the car well out of sight",2022-03-30 16:59:00,1509213614770597890,Ixothial,,,0,1,en,Twitter Web App,1509211834670370824,1409552933704933380,False
13,@delta_debbie_ he do…i been tryna be a hater but i think it’s time for me to hang it up 😮‍💨,2022-03-30 16:58:58,1509213608806432773,prettybiebtan,,,0,0,en,Twitter for iPhone,1509213137685385224,832984771059994625,False
14,"RT @NASAPersevere: Making tracks. For the next few weeks, I’ll be putting the pedal down – focused on making it to the river delta deposits…",2022-03-30 16:58:57,1509213602598641671,_un14,,,634,0,en,Twitter for Android,,,False
15,@FSUmanager Delta and it’s not particularly close,2022-03-30 16:58:54,1509213590699524098,WasSeminole51,,,0,1,en,Twitter for iPhone,1509210840054091784,2230733528,False
16,RT @NASAPersevere: It’s time to put in some work for my AutoNav system as I head to my next science campaign in the ancient river delta. I’…,2022-03-30 16:58:53,1509213585095888897,_un14,,,574,0,en,Twitter for Android,,,False
17,"Delta Airlines flight #DAL698 spotted at 15,750 feet! https://t.co/1HsvE3kwwe",2022-03-30 16:58:52,1509213580297613316,laxradar,,,0,0,en,Raspberry Pi - ADS-B Receiver,,,False
18,"RT @admanfree: @CoryCopelandH2O @andrewrypel Great blog! 

On beavers, the importance of estuarine wetlands to supporting their populations…",2022-03-30 16:58:49,1509213569581084676,UCDavisWater,,,3,0,en,Twitter Web App,,,False
19,Aye I’m bout to start a go fund me for my luggage 😫 @delta should be ashamed,2022-03-30 16:58:44,1509213550421630978,aPrettyKoolNurs,,,0,0,en,Twitter for iPhone,,,False
