,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
0,"RT @ZachariasFoegen: #Ivermectin is the most effective, the cheapest, and the best reseached treatment for #COVID19, plus it has the least…",2022-03-30 16:54:47,1509212556380020738,ChrizKrypto,,,5,0,en,Twitter Web App,,,False
1,"RT @marabscott: @homemadejammum @sailorrooscout Per 100,000 has been the benchmark for covid19 data analysis since the beginning of the pan…",2022-03-30 16:54:20,1509212440185253892,joshuagalka70,,,1,0,en,Twitter for Android,,,False
2,"RT @FDA_Drug_Info: As part of the FDA’s effort to protect consumers, FDA issued warning letters jointly with the @FTC to seven companies fo…",2022-03-30 16:48:52,1509211063987884036,anitamulero,,,1,0,en,Twitter for iPhone,,,False
3,"As part of the FDA’s effort to protect consumers, FDA issued warning letters jointly with the @FTC to seven compani… https://t.co/QOsOnHFsj5",2022-03-30 16:48:44,1509211030064406541,FDA_Drug_Info,,,1,0,en,Twitter Web App,,,False
4,"RT @ZachariasFoegen: #Ivermectin is the most effective, the cheapest, and the best reseached treatment for #COVID19, plus it has the least…",2022-03-30 16:45:59,1509210341011558400,pkoschel,,,5,0,en,Twitter Web App,,,False
5,"RT @ZachariasFoegen: #Ivermectin is the most effective, the cheapest, and the best reseached treatment for #COVID19, plus it has the least…",2022-03-30 16:43:56,1509209823174438922,shutterfly_24,,,5,0,en,Twitter for Android,,,False
6,"RT @ZachariasFoegen: #Ivermectin is the most effective, the cheapest, and the best reseached treatment for #COVID19, plus it has the least…",2022-03-30 16:43:35,1509209736641761283,vespertin3,,,5,0,en,Twitter Web App,,,False
7,"#Ivermectin is the most effective, the cheapest, and the best reseached treatment for #COVID19, plus it has the lea… https://t.co/7vWKw1CIi8",2022-03-30 16:43:00,1509209590847750152,ZachariasFoegen,,,5,10,en,Twitter for Android,,,False
8,"@homemadejammum @sailorrooscout Per 100,000 has been the benchmark for covid19 data analysis since the beginning of… https://t.co/A44VDiaO0U",2022-03-30 16:41:48,1509209287368794115,marabscott,,,1,1,en,Twitter for Android,1509195805487505415,1381294880165666826,False
9,"Ontario Covid19 cases are rising
Wastewater detection of virus is rising
There is NO PLAN under Ford
790 hospitaliz… https://t.co/YjEx3p0e3r",2022-03-30 14:53:33,1509182044634497028,RGBAtlantica,,,0,0,en,Twitter Web App,,,True
10,RT @US_FDA: We also issued warning letters jointly with @FTC to seven companies for selling CBD products using research studies to claim or…,2022-03-30 13:33:40,1509161940760805383,FDA_ORA,,,2,0,en,TweetDeck,,,False
11,@GovRonDeSantis Report this Tweet as misleading covid19/health issues. Click the 3 little dots in the upper right c… https://t.co/czdsVcmhUZ,2022-03-30 13:20:08,1509158537905201157,RandyHolder205,,,0,2,en,Twitter for Android,1508920694385557506,1058807868,False
12,"RT @StTogether1: The #ToriesUnfitToGovern are 'world leading' in Orwellian lies, obfuscation and in misleading the public.
4,3 million #Cov…",2022-03-30 08:49:58,1509090546970681344,StTogether1,,,1,0,en,Twitter Web App,,,True
13,@LBC @AndrewMarr9 #PartyGate = breaking #Covid19 laws and then misleading the #HoC about it from the despatch box.… https://t.co/6TQ0uhkkzX,2022-03-30 08:35:17,1509086850664775684,IvorFried,,,0,0,en,Twitter Web App,1508852765241585671,20973388,False
14,"The #ToriesUnfitToGovern are 'world leading' in Orwellian lies, obfuscation and in misleading the public.
4,3 milli… https://t.co/kQaSPIhUOp",2022-03-30 08:31:42,1509085951536123906,StTogether1,,,1,1,en,Twitter Web App,,,True
15,"@DHShades @KatCapps Thank you, Dany. I've reported that tweet for misleading COVID19 information.",2022-03-30 02:48:47,1508999652032626693,BleuZ00m,,,0,2,en,Twitter for Android,1508760731029852160,223558906,False
16,RT @US_FDA: We also issued warning letters jointly with @FTC to seven companies for selling CBD products using research studies to claim or…,2022-03-30 01:15:15,1508976111673573378,TheOneAngels,,,2,0,en,Twitter for iPhone,,,False
17,We also issued warning letters jointly with @FTC to seven companies for selling CBD products using research studies… https://t.co/KUlF0UGYRn,2022-03-29 23:08:49,1508944297445531653,US_FDA,,,2,5,en,Twitter Web App,1508944296057229321,208120290,False
18,"RT @Ricekmc: #PARTYGATE: Boris attended lockdown parties &amp; is accused of misleading parliament. Where’s the penalty? 
#StolenGoodbyes podca…",2022-03-29 21:27:05,1508918694256287749,glotzgold,,,2,0,en,Twitter for Android,,,False
19,"RT @Ricekmc: #PARTYGATE: Boris attended lockdown parties &amp; is accused of misleading parliament. Where’s the penalty? 
#StolenGoodbyes podca…",2022-03-29 19:06:48,1508883390002515970,Justice4CV150K,,,2,0,en,Twitter Web App,,,False
20,Highly misleading. Cohort study finds benefit of asa in #COVID and states findings c/w prior observational studies.… https://t.co/ah8WPo5wXF,2022-03-29 18:45:07,1508877931552120832,andrewdunn111,,,0,2,en,Twitter Web App,,,False
21,#PARTYGATE: Boris attended lockdown parties &amp; is accused of misleading parliament. Where’s the penalty?… https://t.co/DNGzTXi2by,2022-03-29 17:51:52,1508864532013359107,Ricekmc,,,2,2,en,Twitter Web App,,,False
22,"RT @FreedomAllian11: Most egregious medical scandal in history.
#COVID19
""...true scale of the pandemic could have been distorted...many pe…",2022-03-29 07:18:53,1508705235824525315,mariali94316534,,,6,0,en,Twitter for iPhone,,,False
23,@meow7671 @Fountainhead60 @kaiviti_cam Don't forget any official stat that goes against expected outcome has a moun… https://t.co/1HrSKP0LdE,2022-03-29 07:10:02,1508703009575890946,oceanblue76547,,,0,1,en,Twitter for Android,1508638374512721924,1385367164966694915,False
24,"Think @bbclaurak and @bbcnickrobinson ought to see and hear this, after the misleading live on air exchange about… https://t.co/QjLGoRTD7y",2022-03-29 06:27:12,1508692228780216322,EastKent_EM,,,0,0,en,Twitter Web App,,,True
25,"RT @HarassNoMore: Governments do their citizens big disfavours by fudging statistics, but seems to be more &amp; more a common practice. For ex…",2022-03-28 23:52:35,1508592921175490560,HarassNoMore,,,1,0,en,Twitter for iPad,,,True
26,"It's funny how reprobate Republicans can claim false narratives ABOUT THE EFFICACY of Covid19 vaccine, but get vacc… https://t.co/N7RgJnwJKk",2022-03-28 23:23:04,1508585493834965004,YouthatHeartEC,,,0,0,en,Twitter for Android,,,True
27,"B.C. doctor to face disciplinary panel over 'misleading, incorrect or inflammatory' claims about COVID-19 | CBC News https://t.co/hguHKPK3Y9",2022-03-28 22:53:18,1508578003751616512,BrigitteCavana2,,,0,0,en,Twitter Web App,,,False
28,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 19:20:55,1508524552581750785,Celestite66,,,141,0,en,Twitter Web App,,,False
29,@RepStefanik #Bidenflation  is just another Republican disinformation campaign. Stop misleading ppl. Inflation is a… https://t.co/ZuqaxkIXdP,2022-03-28 17:55:52,1508503151032295424,tdzarnick,,,0,0,en,Twitter for iPhone,1508490349202739200,2962813893,False
30,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 16:05:20,1508475335968530440,JackSpr97225020,,,141,0,en,Twitter for Android,,,False
31,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 15:30:51,1508466656133226501,LL89573524,,,141,0,en,Twitter for Android,,,False
32,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 15:08:50,1508461114249695234,kennypowders76,,,141,0,en,Twitter for Android,,,False
33,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 14:34:18,1508452423882399753,CBrown52791704,,,141,0,en,Twitter for iPad,,,False
34,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 14:26:19,1508450417461575689,chrisatodd1,,,141,0,en,Twitter for iPhone,,,False
35,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 14:12:00,1508446812058882048,ripyouanewone,,,141,0,en,Twitter Web App,,,False
36,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 13:22:20,1508434315616534528,SoCalObserver,,,141,0,en,Twitter for iPad,,,False
37,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 13:11:50,1508431672722796544,jemma_2015x,,,141,0,en,Twitter for iPhone,,,False
38,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 12:28:10,1508420680697749509,makko50906788,,,141,0,en,Twitter for iPad,,,False
39,RT @robindbrant: This is inaccurate and just plain wrong. #china Shanghai is being locked down OVER THE NEXT NINE DAYS. Life is not ‘normal…,2022-03-28 10:31:30,1508391322998161408,DrAJB_TNE,,,5,0,en,Twitter for iPad,,,True
40,"@BBCBreakfast, @BBCNews need to put the record straight on #COVID19.  Their expert has just said that vaccination r… https://t.co/uvc0YbeWXk",2022-03-28 06:52:26,1508336192428945408,cogitator99,,,0,0,en,Twitter Web App,,143415291,False
41,@petesscience @DE2344 @alexmeshkin Well to be exact COViD just means Coronavirus-disease so can mean any coronaviru… https://t.co/SHve4plwFw,2022-03-28 06:00:41,1508323170503245831,Buktu1975,,,0,1,en,Twitter for iPhone,1508261107504324608,773061971620995072,False
42,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 05:42:10,1508318508794499075,brucearmsscot,,,141,0,en,Twitter Web App,,,False
43,RT @robindbrant: This is inaccurate and just plain wrong. #china Shanghai is being locked down OVER THE NEXT NINE DAYS. Life is not ‘normal…,2022-03-28 03:13:16,1508281037435990021,roygrubb,,,5,0,en,TweetDeck,,,True
44,"RT @FreedomPodcast1: This advert is misleading @scotgov @NHSScotland @P_H_S_Official 

“They we’re all unvaccinated when they got ill with…",2022-03-28 03:09:29,1508280083538223104,Gwins13,,,141,0,en,Twitter for Android,,,False
45,RT @robindbrant: This is inaccurate and just plain wrong. #china Shanghai is being locked down OVER THE NEXT NINE DAYS. Life is not ‘normal…,2022-03-28 02:09:25,1508264968495398914,SunnyMewati,,,5,0,en,Twitter for iPhone,,,True
46,RT @robindbrant: This is inaccurate and just plain wrong. #china Shanghai is being locked down OVER THE NEXT NINE DAYS. Life is not ‘normal…,2022-03-28 02:02:41,1508263272570830849,sanverde,,,5,0,en,Twitter for iPhone,,,True
47,RT @robindbrant: This is inaccurate and just plain wrong. #china Shanghai is being locked down OVER THE NEXT NINE DAYS. Life is not ‘normal…,2022-03-28 01:57:08,1508261878266732549,EP_Lawrence,,,5,0,en,Twitter for iPhone,,,True
