,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
0,Lying bastard Vallence says we've reached (fake) Omricon peak but more deaths to come. These lying bastards just wo… https://t.co/c3KnaU2Z7q,2022-03-30 15:21:34,1509189095469240320,tetley824,,,0,0,en,Twitter for Android,,,False
1,RT @nevabraxt: I can’t sleep without creating a fake scenario in my head,2022-03-30 12:14:37,1509142049869615109,Hyper_Omicron,,,139026,0,en,Twitter for Android,,,False
2,"The media that has been told of fake news are actually telling the truth all the time, which is too ironic!
""… https://t.co/btWr8NEV51",2022-03-30 12:01:25,1509138727884697603,BachHermosa,,,0,0,en,Twitter Web App,,,False
3,@cleary_mitch @7NewsMelbourne Seriously your so called lack of news is like reporting on the fake 'omicron'..it's a… https://t.co/FzMLBi3kW9,2022-03-30 11:52:29,1509136476478783489,elegantdude,,,0,0,en,Twitter for Android,1509037495073206272,38620724,False
4,@ClareONeilMP Omicron..fake virus news.. get a real life..stop reading a script like the actor you all are,2022-03-30 06:42:59,1509058589893488643,pac5678,,,0,0,en,Twitter Web App,1508746380063301633,57906313,False
5,"RT @COVID_Oversight: Scammers remain ruthless when taking advantage of the vulnerable. As Omicron spreads, fake testing sites are popping u…",2022-03-30 05:23:39,1509038625769492480,mkg_sd,,,3,0,en,Twitter Web App,,,False
6,"RT @COVID_Oversight: Scammers remain ruthless when taking advantage of the vulnerable. As Omicron spreads, fake testing sites are popping u…",2022-03-30 05:22:48,1509038412724154369,YDanasmithdutra,,,3,0,en,Twitter for iPhone,,,False
7,"@stewak2 @prairiecentrist IF they had the fake KN95s I bought on Amazon, I am sure they never would have had this o… https://t.co/eShKR4qJvo",2022-03-30 03:23:42,1509008436964773890,Liberalism2021,,,0,3,en,Twitter Web App,1509001167635894273,82241627,False
8,@davejfyfe @CXCarroll Too bad China’s data is always fake. It would be really helpful to know how omicron is behavi… https://t.co/2zsUuaMZwB,2022-03-30 01:48:57,1508984594351206405,BearDown5434,,,0,0,en,Twitter for iPhone,1508972324602748932,171784197,False
9,"The new omicron variant presents as a stomach bug? 

No, I'm not thinking of using my 30 year old fake ID at Rite Aid.",2022-03-29 21:06:07,1508913416857165826,LibertyLiddy,,,0,0,en,Twitter Web App,,,False
10,Omicron vaccine for children is definitely needed. Fake news is very dangerous and is all over the place. Children… https://t.co/SGxGR1FjvD,2022-03-29 20:37:40,1508906255120748544,DerekMi83400090,,,0,0,en,Twitter Web App,,,False
11,"The media that has been told of fake news are actually telling the truth all the time, which is too ironic!
""… https://t.co/3HgUAk5w5t",2022-03-29 10:56:04,1508759893980827648,BachHermosa,,,0,0,en,Twitter Web App,,,False
12,RT @AliNeitzelMD: @tnicholsmd The situation got worse because of Vandy’s lack of transparency so they needed to sacrifice a lamb. Meanwhile…,2022-03-28 16:33:01,1508482300547325953,CentristRn,,,1,0,en,Twitter Web App,,,False
13,"The media that has been told of fake news are actually telling the truth all the time, which is too ironic!
""… https://t.co/mPCq7xqWsA",2022-03-28 11:24:42,1508404710209859586,BachHermosa,,,0,0,en,Twitter Web App,,,False
14,"RT @jameshasasay: @AlbertBourla My brother in law, family of 6, all vaccinated with Pfizer. All infected with Omicron. 100% failure boet. D…",2022-03-28 11:24:18,1508404609504911363,dn_under,,,31,0,en,Twitter Web App,,,False
15,@buckyspunisher @SuicideAccount3 @Bunnie_bby0819 @Brksandi @TrefryTerry @LORRAKON Tbh you look like a cuck if you j… https://t.co/yohluDAL6V,2022-03-28 11:12:50,1508401725249572878,a_omicron,,,0,2,en,Twitter for iPhone,1508401286315601920,2153527377,False
16,@tnicholsmd The situation got worse because of Vandy’s lack of transparency so they needed to sacrifice a lamb. Mea… https://t.co/0qw5YYanTU,2022-03-28 07:30:47,1508345845464412162,AliNeitzelMD,,,1,0,en,Twitter for iPhone,1508322730042540032,825832497539723264,False
17,"The media keeps trying to tell us the truth, is it any wonder that some want to call them fake news, for fear of wh… https://t.co/7wq12eQOGJ",2022-03-28 03:24:34,1508283883296493572,NoelCarnegie,,,0,0,en,Twitter Web App,,,False
