,Unnamed: 0,Tweet Text,Tweet Datetime,Tweet Id,Twitter Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool,Twitter @ Name
0,0,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 13:33:32+00:00,1509161910100537354,MaritaWoods11,,,66,0,en,Twitter for iPhone,,,False,
1,1,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-30 13:25:16+00:00,1509159826462494720,CLSylvestre1,,,40,0,en,Twitter for Android,,,False,
2,2,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 12:31:55+00:00,1509146402298814467,BillTieleman,,,66,0,en,Twitter for iPad,,,False,
3,3,"Beware of fake COVID-19 vaccines: Here's how to spot one.
#COVID19 
#fakevaccine https://t.co/0q71o7yGGt",2022-03-30 12:21:20+00:00,1509143737435242497,PNPAbraBangued,,,0,0,en,Twitter Web App,,,False,
4,4,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 12:01:49+00:00,1509138826454876162,John68Richmond,,,66,0,en,Twitter for Android,,,False,
5,5,"The media that has been told of fake news are actually telling the truth all the time, which is too ironic!
""… https://t.co/btWr8NEV51",2022-03-30 12:01:25+00:00,1509138727884697603,BachHermosa,,,0,0,en,Twitter Web App,,,False,
6,6,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 12:00:33+00:00,1509138509197623304,Eddie72J,,,66,0,en,Twitter for Android,,,False,
7,7,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 10:46:09+00:00,1509119784285319169,airbagmoments,,,66,0,en,Twitter for iPad,,,False,
8,8,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 10:31:09+00:00,1509116011915751426,MEEKSVS,,,66,0,en,Twitter for iPhone,,,False,
9,9,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 10:07:44+00:00,1509110117819629571,Wisterias20,,,66,0,en,Twitter for iPhone,,,False,
10,10,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-30 09:39:54+00:00,1509103112363020291,KBiotechexpress,,,9,0,en,Twitter for Android,,,False,
11,11,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 09:16:44+00:00,1509097282607759361,Blink2XAmerica,,,66,0,en,Twitter for iPhone,,,False,
12,12,"AI-Based Forensic Probe To Identify Fake Vaccine Scam | by Awes Faghi Elmi | Aug, 2021 | @Scientya_blog - via… https://t.co/yIuzGyGiS4",2022-03-30 08:31:20+00:00,1509085856371515396,YIbnM,,,0,1,en,Penname,,,False,
13,13,A recent ONS report found an estimated 5.1 million fraud offences were committed in England and Wales during 2021.… https://t.co/otlAhDwmdx,2022-03-30 07:57:00+00:00,1509077216461828103,kentprotect,,,0,1,en,ContentCal Studio,,,False,
14,14,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 07:26:51+00:00,1509069629217456130,ace_kaden,,,66,0,en,Twitter for Android,,,False,
15,15,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 07:24:48+00:00,1509069111820644354,JessicaRameyGil,,,66,0,en,Twitter for Android,,,False,
16,16,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 07:02:56+00:00,1509063610047340544,Hoezo513,,,66,0,en,Twitter for Android,,,False,
17,17,"@ICFJ @RanaAyyub @DoughtyStIntl @IBAHRI She is accused of crores of amount collected in the name of #COVID19 

Jour… https://t.co/Mnu75xgcZk",2022-03-30 06:56:11+00:00,1509061912587235329,JaganSanatan,,,0,0,en,Twitter for Android,1.5088389186403164e+18,17808151.0,False,
18,18,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 04:58:06+00:00,1509032194811039745,lauraapollo,,,66,0,en,Twitter for Android,,,False,
19,19,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 04:51:45+00:00,1509030595472637954,DESelv,,,66,0,en,Twitter for iPhone,,,False,
20,20,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 04:49:25+00:00,1509030009528332288,artisteashlei,,,66,0,en,Twitter for iPhone,,,False,
21,21,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 04:47:04+00:00,1509029417061957635,NovelSci,,,66,0,en,Twitter Web App,,,False,
22,22,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-30 03:55:48+00:00,1509016518176219136,rytweeter,,,40,0,en,Twitter for Android,,,False,
23,23,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 02:03:01+00:00,1508988135790845963,Gordarnit,,,66,0,en,Twitter Web App,,,False,
24,24,"@shannonsharpeee @ShannonSharpe Since Will Smith out her ATTACKING people. 
I would love to see Will Smith slap Sha… https://t.co/cZCt3DKEkF",2022-03-30 01:51:02+00:00,1508985120191037450,GurlThatj,,,0,0,en,Twitter Web App,1.508455142969938e+18,918207822.0,False,
25,25,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-30 01:17:03+00:00,1508976565643849733,janfromthebruce,,,66,0,en,Twitter for Android,,,False,
26,26,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 23:33:44+00:00,1508950563924312066,ksbrooker,,,66,0,en,Twitter for iPhone,,,False,
27,27,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 23:17:37+00:00,1508946510339362823,SonicSnafu,,,66,0,en,Twitter Web App,,,False,
